Year ending December,Postcode,Incidents Recorded
2010,3670,16.0
2010,3672,794.0
2010,3673,16.0
2010,3675,47.0
2010,3677,1504.0
2010,3678,47.0
2010,3682,5.0
2010,3683,45.0
2010,3685,95.0
2010,3687,33.0
2010,3688,34.0
2010,3690,1969.0
2010,3691,112.0
2010,3695,5.0
2010,3697,13.0
2010,3698,4.0
2010,3699,54.0
2010,3700,38.0
2010,3701,14.0
2010,3705,9.0
2010,3707,93.0
2010,3708,1.0
2010,3709,13.0
2010,3711,17.0
2010,3712,7.0
2010,3713,69.0
2010,3714,111.0
2010,3715,5.0
2010,3717,146.0
2010,3718,1.0
2010,3719,4.0
2010,3720,43.0
2010,3722,245.0
2010,3723,168.0
2010,3725,5.0
2010,3726,3.0
2010,3727,1.0
2010,3728,17.0
2010,3730,367.0
2010,3732,10.0
2010,3733,3.0
2010,3735,10.0
2010,3737,141.0
2010,3738,5.0
2010,3739,2.0
2010,3740,18.0
2010,3741,134.0
2010,3744,6.0
2010,3746,11.0
2010,3747,101.0
2010,3749,26.0
2010,3750,28.0
2010,3751,6.0
2010,3752,699.0
2010,3753,31.0
2010,3754,549.0
2010,3755,8.0
2010,3756,323.0
2010,3757,246.0
2010,3758,60.0
2010,3759,18.0
2010,3760,4.0
2010,3761,12.0
2010,3762,1.0
2010,3763,64.0
2010,3764,259.0
2010,3765,187.0
2010,3766,32.0
2010,3767,20.0
2010,3770,64.0
2010,3775,87.0
2010,3777,314.0
2010,3778,15.0
2010,3779,36.0
2010,3781,177.0
2010,3782,307.0
2010,3783,80.0
2010,3785,20.0
2010,3786,43.0
2010,3787,25.0
2010,3788,72.0
2010,3789,24.0
2010,3791,43.0
2010,3792,15.0
2010,3793,131.0
2010,3795,35.0
2010,3796,256.0
2010,3797,141.0
2010,3799,208.0
2010,3802,812.0
2010,3803,572.0
2010,3804,176.0
2010,3805,2491.0
2010,3806,1479.0
2010,3807,260.0
2010,3808,47.0
2010,3809,125.0
2010,3810,1926.0
2010,3812,59.0
2010,3813,14.0
2010,3814,56.0
2010,3815,62.0
2010,3816,72.0
2010,3818,477.0
2010,3820,692.0
2010,3821,60.0
2010,3822,22.0
2010,3823,45.0
2010,3824,183.0
2010,3825,1648.0
2010,3831,56.0
2010,3833,32.0
2010,3835,8.0
2010,3840,2244.0
2010,3842,331.0
2010,3844,2027.0
2010,3847,138.0
2010,3850,1343.0
2010,3851,181.0
2010,3854,23.0
2010,3856,8.0
2010,3857,12.0
2010,3858,116.0
2010,3859,18.0
2010,3860,290.0
2010,3862,72.0
2010,3864,6.0
2010,3865,8.0
2010,3869,29.0
2010,3870,43.0
2010,3871,104.0
2010,3873,5.0
2010,3874,31.0
2010,3875,1385.0
2010,3878,13.0
2010,3880,92.0
2010,3882,10.0
2010,3885,39.0
2010,3886,12.0
2010,3887,34.0
2010,3888,272.0
2010,3889,5.0
2010,3890,26.0
2010,3891,3.0
2010,3892,49.0
